serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
29458,Iridion 3D,/app/1132220/,4/8/20,2,9,0,9,75,Action (1),Action (1),Majesco Entertainment,Shin'en Multimedia,nan,4/13/20,,0,1,2,4/9/20
29459,In - Sight,/app/1161110/,1/5/20,2,9,0,9,75,Indie (23),"Free to Play (37), Indie (23), Simulation (28)",Liang Zou,Liang Zou,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2/7/20,,0,0,2,3/11/20
29460,First Contact,/app/1204580/,2/21/20,4,9,0,9,75,Adventure (25),"Adventure (25), Indie (23)",Eis Interactive,Haguy Eis,Engine.Unity,10/29/22,,0,0,4,2/24/21
29461,Sokpop S05: Pilfer,/app/1206260/,1/17/20,2,9,0,9,75,Indie (23),"Adventure (25), Indie (23)",Sokpop Collective,Sokpop Collective,Engine.Unity,12/14/21,,0,0,2,3/14/20
29462,Der Geisterturm / The Ghost Tower,/app/1217070/,1/23/20,3,9,0,9,75,RPG (3),"Adventure (25), RPG (3)",Graverobber Foundation,Graverobber Foundation,Engine.Unity,12/26/19,,0,0,3,1/24/20
29463,Maze Burrow,/app/1244190/,3/31/20,2,9,0,9,75,Indie (23),Indie (23),"Thomas ""Kimimaru"" Deeb",Thomas &quot;Kimimaru&quot; Deeb,Engine.MonoGame; SDK.SDL,5/9/20,,0,0,2,4/2/20
29464,Protective Clothing,/app/1248100/,3/28/20,4,9,0,9,75,Indie (23),"Adventure (25), Indie (23), RPG (3)",Whateverzone,Tukata Mayakon,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,3/7/20,,0,0,4,4/3/20
29465,Speed Sweeper,/app/1248680/,3/6/20,2,9,0,9,75,Strategy (2),"Action (1), Casual (4), Indie (23), Strategy (2)",WubsGames,WubsGames,Engine.GameMaker,3/6/20,,0,0,2,3/6/20
29466,Fusion SHIFT,/app/1254070/,5/15/20,3,9,0,9,75,Indie (23),"Action (1), Adventure (25), Indie (23)",halvardo13,halvardo13,Engine.GameMaker,4/14/20,,0,0,3,4/16/21
29467,Astro-g,/app/1260490/,6/4/20,2,9,0,9,75,Indie (23),"Casual (4), Indie (23), Strategy (2)",Sleep Dep Games,Sleep Dep Games,Engine.Unity,5/3/20,,0,0,2,6/4/20
