serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
5060,Saint Kotar: The Crawling Man,/app/2186240/,12/2/22,3,22,0,22,80.54,Casual (4),"Casual (4), Indie (23)",Red Martyr Entertainment,Red Martyr Entertainment,Engine.Unity; SDK.EpicOnlineServices; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,11/18/22,100,0,1,3,12/4/22
5061,Seaberry Holiday,/app/2208060/,12/7/22,4,22,0,22,80.54,Casual (4),"Casual (4), Indie (23)",Cozy Strawberry,Cozy Strawberry,Engine.RenPy,11/2/22,100,0,0,4,12/7/22
5062,Catizens,/app/957660/,8/17/22,93,180,24,204,80.53,Simulation (28),"Indie (23), Simulation (28), Strategy (2), Early Access (70)",HeroCraft PC,badopticsgames,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,1/30/23,88,4,6,93,8/17/22
5063,Zorbus,/app/2125420/,9/14/22,68,114,13,127,80.53,RPG (3),"Indie (23), RPG (3)",Zorbus,Zorbus,SDK.BASS; SDK.cURL,1/26/23,89,3,9,68,9/18/22
5064,Mosaic Chronicles,/app/1034150/,9/29/22,11,47,3,50,80.53,Indie (23),"Casual (4), Indie (23)",Error 300,Error 300,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,12/15/22,94,0,3,11,11/23/22
5065,Frail Hearts: Versicorae Domlion,/app/1412890/,8/16/22,15,47,3,50,80.53,RPG (3),"Indie (23), RPG (3)",Ravenage Games,Sezhes,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,10/13/22,94,1,3,15,8/16/22
5066,Operation STEEL,/app/1489300/,1/27/22,10,47,3,50,80.53,Action (1),"Action (1), Indie (23)",Undermog Games,Undermog Games,Engine.Godot,11/20/22,94,0,1,10,1/27/22
5067,Mind Diver,/app/1945810/,6/22/22,7,47,3,50,80.53,Adventure (25),"Adventure (25), Free to Play (37), Indie (23)",Indoor Sunglasses,Indoor Sunglasses,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,6/21/22,94,0,0,7,6/22/22
5068,Scurvy Dogs,/app/2178170/,11/1/22,24,47,3,50,80.53,Action (1),"Action (1), Free to Play (37)",Unnamed Studios LLC,Unnamed Studios LLC,Engine.Unity; SDK.Discord; SDK.UnityBurst,10/30/22,93,0,1,24,12/17/22
5069,Bunny Girl Story,/app/1920400/,4/22/22,11,120,14,134,80.52,Indie (23),"Casual (4), Indie (23)",Hunny Bunny Studio,Hunny Bunny Studio,SDK.NWJS; SDK.NodeJS,2/5/23,89,0,2,11,4/24/22
5070,SKULL CHAINZ,/app/1705150/,10/31/22,10,31,1,32,80.51,Action (1),"Action (1), Casual (4), Indie (23)",Chaoclypse,Chaoclypse,Engine.Unity; SDK.Qt; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,10/29/22,96,1,1,10,10/31/22
5071,I Am a Rock,/app/1762400/,2/18/22,3,31,1,32,80.51,Early Access (70),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28), Strategy (2), Early Access (70)",PanGuoJun,PanGuoJun,Engine.Unity; SDK.cURL,2/23/22,96,0,0,3,2/22/22
5072,PAIN,/app/1841320/,6/17/22,9,31,1,32,80.51,Indie (23),"Action (1), Adventure (25), Indie (23)",guessImLily,Lily,nan,6/16/22,96,0,1,9,6/17/22
5073,η κλοπή του ΚΡΑΣΙΟΥ,/app/1863560/,1/21/22,3,31,1,32,80.51,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Creativity Films Ltd.,Thomas Doukinitsas,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,12/30/21,96,0,0,3,1/21/22
5074,Rally: Endless Conquest,/app/1885200/,8/19/22,38,31,1,32,80.51,Strategy (2),"Indie (23), Strategy (2), Early Access (70)",Bleem,Bleem,nan,9/29/22,96,0,1,38,8/24/22
5075,Traumada,/app/1952900/,8/12/22,4,31,1,32,80.51,Indie (23),"Adventure (25), Indie (23)",James Horn,James Horn,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,4/14/22,96,0,1,4,8/14/22
5076,学園スイーツ発見 ～双目（ざらめ）のドーナツ編～,/app/1966440/,5/10/22,4,31,1,32,80.51,Free to Play (37),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",ほんわかふわふわ,ほんわかふわふわ,Engine.Unity; SDK.SteamworksNET; SDK.cURL,4/12/22,96,0,0,4,5/21/22
5077,Adventures of Quin85,/app/2089340/,7/29/22,72,31,1,32,80.51,Action (1),"Action (1), Adventure (25), Early Access (70)",Deathclaim (Dreadnoughts),Deathclaim (Dreadnoughts),Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,7/14/22,96,0,0,72,8/5/22
5078,Valkyrie of Phantasm,/app/2015620/,10/22/22,277,373,59,432,80.5,Action (1),"Action (1), Indie (23), Early Access (70)",PLAYISM,AREAZERO,Engine.Unity; SDK.UnityBurst,3/7/23,86,0,7,277,10/23/22
5079,The Shadow Government Simulator: Prologue,/app/2025750/,9/7/22,109,138,17,155,80.5,Strategy (2),"Free to Play (37), Indie (23), Simulation (28), Strategy (2)",Games Incubator,Chupacabra Game Studios,Engine.Unity,4/13/23,88,0,4,109,9/9/22
5080,B.I.O.T.A.,/app/1640320/,4/12/22,51,132,16,148,80.5,Action (1),"Action (1), Casual (4), Indie (23)",Retrovibe,small bros,SDK.NWJS; SDK.NodeJS,4/14/23,89,0,4,51,2/12/23
5081,Kamifuda,/app/1937720/,9/13/22,23,75,7,82,80.5,Indie (23),"Indie (23), Strategy (2)",Realm Archive,Realm Archive,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,10/30/22,91,1,4,23,9/21/22
5082,尘埃见闻录,/app/1669340/,1/11/22,21,88,9,97,80.48,Adventure (25),"Adventure (25), Casual (4)",七彩绘色游戏,嘻咯夜X,Engine.Unity,1/7/22,90,0,0,21,1/11/22
5083,Commando Hero,/app/2203990/,12/16/22,20,39,2,41,80.48,Casual (4),"Casual (4), Indie (23), Early Access (70)",Ismail Avci,Ismail Avci,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.Vorbis; SDK.XAudio2,2/18/23,95,0,1,20,12/25/22
5084,Elven Assassin,/app/503770/,9/14/22,426,519,87,606,80.47,Action (1),"Action (1), Adventure (25), Indie (23), Simulation (28)",Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Photon,9/15/22,85,119,185,426,2/1/20
5085,Overhaul,/app/1608660/,10/14/22,22,68,6,74,80.47,Action (1),"Action (1), Adventure (25), Indie (23)",Bread Panda,Bread Panda,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,11/12/22,91,0,0,22,10/14/22
5086,Desktop Jumpscares,/app/2084110/,7/31/22,11,68,6,74,80.47,Simulation (28),Simulation (28),WarPromo,WarPromo,nan,7/15/22,91,0,1,11,8/19/22
5087,Land of Screens,/app/1271260/,2/4/22,6,54,4,58,80.47,Adventure (25),"Adventure (25), Indie (23)",Way Down Deep,Serenity Forge,Engine.Unity,1/19/22,93,0,0,6,2/5/22
5088,Noun Town,/app/1643100/,12/15/22,17,61,5,66,80.46,Simulation (28),"Casual (4), Simulation (28)",realiaXR,realiaXR,Engine.Unity; SDK.OpenXR,3/30/23,91,0,6,17,12/15/22
5089,Morendo,/app/2168870/,11/21/22,6,119,14,133,80.44,Free to Play (37),"Free to Play (37), Indie (23)",Donausaurus,Donausaurus,Engine.Unity; SDK.FMOD; SDK.cURL,11/4/22,89,0,1,6,12/4/22
5090,Foxhole,/app/505460/,9/28/22,11791,24649,5462,30111,80.43,Action (1),"Action (1), Indie (23), Massively Multiplayer (29), RPG (3), Strategy (2)",Siege Camp,Siege Camp,Engine.Unreal; SDK.CEF; SDK.Discord; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vivox; SDK.Vorbis,12/24/22,81,"2,330","2,815",11791,9/28/22
5091,Catch Me If You Can,/app/839330/,10/28/22,46,81,8,89,80.43,Casual (4),"Action (1), Casual (4), Indie (23)",Glorified Studios,Glorified Studios,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,10/28/22,90,14,14,46,10/30/22
5092,The Kids We Were,/app/1767220/,1/13/22,43,81,8,89,80.43,Adventure (25),Adventure (25),GAGEX Co. Ltd.,GAGEX Co. Ltd.,Engine.Unity,10/11/21,91,0,2,43,1/16/22
5093,MILF HUNTER,/app/1854970/,4/1/22,11,81,8,89,80.43,Casual (4),"Adventure (25), Casual (4), Indie (23), RPG (3)",Milk Poison,Milk Poison,Engine.Unity; SDK.UnityURP; SDK.cURL,2/21/22,91,0,1,11,4/1/22
5094,Gloomgrave,/app/1907000/,7/11/22,33,100,11,111,80.4,Indie (23),"Indie (23), RPG (3), Early Access (70)",Netmancer,Netmancer,Engine.Godot,6/16/22,90,0,2,33,7/11/22
5095,枝江第一舞斗会,/app/1864590/,7/25/22,65,189,26,215,80.39,Action (1),"Action (1), Casual (4), Free to Play (37), Indie (23), RPG (3)",BK0717Studio,BK0717Studio,Engine.Unity; SDK.UnityBurst,6/15/22,87,0,2,65,7/25/22
5096,Hellfire Tactics,/app/1360940/,11/10/22,121,142,18,160,80.36,Strategy (2),"Free to Play (37), Strategy (2), Early Access (70)",JWaffle Games,JWaffle Games,Engine.Godot,11/6/22,88,0,0,121,11/20/22
5097,Kolhii ChampionsAU,/app/1799950/,8/25/22,37,46,3,49,80.36,Sports (18),"Indie (23), Sports (18), Early Access (70)",Jupiter Brains,Team Kanohi,Engine.Unreal; SDK.EpicOnlineServices; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.Vorbis; SDK.XAudio2,7/27/22,94,0,3,37,8/25/22
5098,Eira,/app/1860960/,8/4/22,24,46,3,49,80.36,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",Gearonin Studio,Gearonin Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,8/4/22,93,0,1,24,8/6/22
5099,Yars: Recharged,/app/2019990/,8/23/22,11,46,3,49,80.36,Action (1),Action (1),Atari,Adamvision Studios,Engine.Unity; SDK.EpicOnlineServices,7/13/22,93,1,3,11,8/23/22
5100,人类动物园 Human Zoo,/app/2181640/,10/27/22,9,46,3,49,80.36,Adventure (25),"Adventure (25), Indie (23), Early Access (70)",冷笑黑妖,水硅钒钙,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,11/29/22,94,0,5,9,2/28/23
5101,Chivalry 2,/app/1824220/,6/12/22,16959,19926,4416,24342,80.34,Action (1),Action (1),Tripwire Presents,Torn Banner Studios,AntiCheat.EasyAntiCheat; Engine.Unreal; SDK.Azure_Playfab_Party; SDK.CEF; SDK.EpicOnlineServices; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,12/6/22,81,"1,811","1,996",16959,6/19/22
5102,花园魔三国 蜀汉篇 -The Sacrificial Girl of the Fantasy 3 Kingdoms- SHU,/app/1240480/,2/25/22,144,171,23,194,80.34,RPG (3),"Adventure (25), Indie (23), RPG (3)",selenophobia,selenophobia,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,2/24/22,88,1,6,144,2/25/22
5103,Like No Other: The Legend Of The Twin Books,/app/1786480/,8/25/22,8,60,5,65,80.32,Adventure (25),"Adventure (25), Indie (23)",Actoon Studio,Actoon Studio,Engine.Unity; SDK.UnityBurst,11/21/22,92,0,1,8,8/26/22
5104,Photogenic Minds : Identity,/app/2074910/,9/29/22,53,60,5,65,80.32,Indie (23),"Indie (23), Strategy (2)",727 Not Hound,727 Not Hound,Engine.Unity; SDK.SteamworksNET; SDK.UnityHDRP; SDK.cURL,11/29/22,92,9,20,53,10/15/22
5105,Renai Royale,/app/2122430/,9/30/22,133,60,5,65,80.32,Adventure (25),Adventure (25),NekoNyan Ltd.,ASa Project,Engine.KiriKiri; SDK.Vorbis,9/8/22,92,2,4,133,10/2/22
5106,Stillwater,/app/2133930/,9/7/22,5,53,4,57,80.32,Casual (4),"Adventure (25), Casual (4), Indie (23)",Studio Clump,Studio Clump,Engine.RenPy,8/26/22,93,0,2,5,9/13/22
5107,BBQ Simulator: The Squad,/app/1755350/,5/25/22,152,669,118,787,80.31,Simulation (28),"Casual (4), Indie (23), Simulation (28)",CubeCube Sports Ltd.,CubeCube Sports Ltd.,Engine.Unity; SDK.Photon; SDK.UnityURP; SDK.cURL,5/25/22,85,8,9,152,3/2/22
5108,Autonauts vs Piratebots,/app/1907720/,7/28/22,763,276,42,318,80.31,Strategy (2),"Casual (4), Indie (23), Simulation (28), Strategy (2)",Curve Games,Denki,Engine.Unity,1/16/23,86,25,35,763,7/30/22
5109,RC Rush,/app/1654800/,1/28/22,6,30,1,31,80.3,Racing (9),"Action (1), Racing (9), Sports (18)",Tea Monster Games,Tea Monster Games,Engine.Unity; SDK.OpenVR; SDK.Photon,1/24/22,96,0,1,6,10/11/21
5110,Path of Ra,/app/1766000/,12/5/22,12,30,1,31,80.3,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Oneiric Tales,Oneiric Tales,Engine.Unity; SDK.FMOD; SDK.UnityBurst,3/15/23,96,1,2,12,12/6/22
5111,False Skies,/app/1830040/,11/30/22,11,30,1,31,80.3,RPG (3),RPG (3),Feenicks,Feenicks,SDK.SDL,12/6/22,96,2,4,11,1/19/23
5112,Scoop Kick!,/app/1866990/,2/11/22,6,30,1,31,80.3,Action (1),"Action (1), Indie (23)",Ryemanni,Ryemanni,Engine.GameMaker,1/10/22,96,0,0,6,2/11/22
5113,Sokobalien,/app/1924590/,8/1/22,9,30,1,31,80.3,Casual (4),"Casual (4), Indie (23), Strategy (2)",Cavylabs,Cavylabs,Engine.Unity,7/29/22,96,0,1,9,8/1/22
5114,World Cruise Story,/app/2019360/,10/31/22,32,30,1,31,80.3,Simulation (28),"Casual (4), Indie (23), Simulation (28), Strategy (2)",Kairosoft Co.Ltd,Kairosoft Co.Ltd,Engine.Unity,10/18/22,96,1,6,32,11/6/22
5115,東方蒼神縁起V -The genius of sappheiros-,/app/2101110/,10/31/22,45,30,1,31,80.3,RPG (3),RPG (3),mebius.,ハチクマソフト,Engine.Unity,3/16/23,96,12,23,45,11/10/22
5116,hololive ERROR,/app/2062550/,9/16/22,171,324,51,375,80.29,Adventure (25),Adventure (25),Cover Corp.,株式会社Mogura,Engine.Unity; SDK.UnityBurst,9/15/22,86,4,6,171,9/16/22
5117,寂夜微光 - A Flicker of Light,/app/1851910/,3/9/22,10,105,12,117,80.29,Indie (23),Indie (23),饺子社,饺子社,Engine.RenPy,6/17/22,89,0,1,10,3/14/22
5118,Palallel,/app/1155300/,5/27/22,16,38,2,40,80.29,Indie (23),"Action (1), Indie (23)",GoatApe,GoatApe,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,5/22/22,95,2,2,16,6/1/22
5119,Tough Law,/app/1661640/,1/20/22,5,38,2,40,80.29,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Cledman Games,Cledson Lopes Marta de Oliveira,Engine.Unity,9/25/22,95,0,0,5,1/20/22
5120,Shadow Heroes,/app/2089920/,10/11/22,11,38,2,40,80.29,Action (1),"Action (1), Indie (23), RPG (3)",Tower Games,Tower Games,Engine.Unity,10/26/22,95,0,0,11,10/11/22
5121,Die Känguru-Verschwörung,/app/2231920/,12/25/22,11,38,2,40,80.29,Action (1),"Action (1), Adventure (25)",Tunermaxx Media GmbH,Tunermaxx Media GmbH,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/6/23,95,0,1,11,12/27/22
5122,The Elder Scrolls: Arena,/app/1812290/,4/26/22,299,1124,211,1335,80.28,RPG (3),"Action (1), RPG (3)",Bethesda Softworks,Bethesda Softworks,Emulator.DOSBOX; SDK.SDL,3/15/22,84,26,43,299,4/27/22
5123,Wanderer,/app/1599560/,1/27/22,141,587,102,689,80.28,Adventure (25),"Action (1), Adventure (25)",Mighty Eyes,Mighty Eyes,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,5/27/22,85,9,13,141,1/30/22
5124,Wanderer,/app/1599560/,1/27/22,141,587,102,689,80.28,Indie (23),Indie (23),DIOD GAMES,RentugNetic,Engine.GameMaker,6/7/22,72,0,0,4,7/1/22
5125,Wanderer,/app/2027350/,6/28/22,4,18,7,25,63.75,Adventure (25),"Action (1), Adventure (25)",Mighty Eyes,Mighty Eyes,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,5/27/22,85,9,13,141,1/30/22
5126,Wanderer,/app/2027350/,6/28/22,4,18,7,25,63.75,Indie (23),Indie (23),DIOD GAMES,RentugNetic,Engine.GameMaker,6/7/22,72,0,0,4,7/1/22
5127,Robotry!,/app/1461930/,10/26/22,5,21,0,21,80.28,Action (1),"Action (1), Adventure (25), Casual (4)",Lockpickle,Lockpickle,Engine.Unity; SDK.FMOD,10/20/22,100,0,2,5,10/26/22
5128,Lost Sunday Comics,/app/1600220/,3/4/22,2,21,0,21,80.28,Early Access (70),"Casual (4), Indie (23), Early Access (70)",Pronoia AB,Pronoia AB,Engine.Unity; SDK.UnityBurst,10/29/22,100,0,0,2,3/6/22
5129,MerFight,/app/1719690/,3/31/22,16,21,0,21,80.28,Action (1),"Action (1), Indie (23), Early Access (70)",Mattrified Games LLC,Mattrified Games LLC,Engine.Unity,11/17/22,100,2,14,16,3/12/23
5130,Wonderputt Forever,/app/1766540/,12/2/22,6,21,0,21,80.28,Sports (18),"Casual (4), Indie (23), Sports (18)",Rogue Games Inc.,Damp Gnat,Engine.Adobe_AIR,12/5/22,100,0,4,6,1/25/23
5131,Chefy-Chef,/app/1798810/,5/6/22,4,21,0,21,80.28,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",Ratalaika Games S.L.,BUG-Studio,SDK.NWJS; SDK.NodeJS,5/11/22,100,0,2,4,5/7/22
5132,IKUSAAAAAAAN!,/app/1848730/,2/26/22,6,21,0,21,80.28,Action (1),Action (1),幽々燦々(yuyusansan),幽々燦々(yuyusansan),nan,1/7/22,100,0,3,6,2/26/22
5133,The Battle Never Ends,/app/1877440/,3/4/22,2,21,0,21,80.28,Indie (23),"Adventure (25), Casual (4), Free to Play (37), Indie (23), RPG (3)",PsychoFlux Entertainment,275,Engine.RPGMaker,2/20/23,100,0,1,2,3/18/22
5134,Dogs Cyberpuzzle,/app/1957210/,6/17/22,3,21,0,21,80.28,Casual (4),"Casual (4), Indie (23)",NoiArts,NoiArts,SDK.NWJS; SDK.NodeJS,7/24/22,100,0,0,3,6/17/22
5135,I commissioned some bees 4,/app/2086180/,7/28/22,6,21,0,21,80.28,Indie (23),"Casual (4), Indie (23)",Follow The Fun,Follow The Fun,nan,10/26/22,100,0,2,6,2/2/23
5136,Tux and Fanny,/app/2094730/,9/8/22,4,21,0,21,80.28,Adventure (25),"Adventure (25), Indie (23)",Means Interactive,Ghost Time Games,Engine.Unity; SDK.cURL,9/7/22,100,0,2,4,9/8/22
5137, Elf World Adventure: Part 1,/app/1874720/,3/15/22,70,264,40,304,80.26,Casual (4),"Casual (4), Indie (23)",430Games,White Panda Studio,Engine.Unity; SDK.UnityURP; SDK.cURL,3/15/22,86,1,3,70,3/15/22
5138,Ghost Trap,/app/2006090/,7/26/22,39,73,7,80,80.26,Indie (23),"Action (1), Free to Play (37), Indie (23)",WilhelmGStudios,WilhelmGStudios,Engine.GameMaker,11/22/22,91,0,1,39,1/12/23
5139,Nordic Ashes,/app/2068280/,12/15/22,2978,1368,263,1631,80.22,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3), Strategy (2), Early Access (70)",Noxfall Studios,Noxfall Studios,Engine.Unity; SDK.Discord; SDK.UnityBurst,4/13/23,84,854,"1,205",2978,1/15/23
5140,Kawaii Hentai Girls 3,/app/2101560/,8/19/22,17,66,6,72,80.21,Casual (4),"Casual (4), Indie (23)",Kawaii Hentai,Kawaii Hentai,Engine.Unity; SDK.SteamworksNET,7/27/22,91,0,1,17,8/19/22
5141,Cyrah's Ascent,/app/1992850/,6/4/22,31,180,25,205,80.2,Action (1),"Action (1), Adventure (25), Casual (4), Free to Play (37)",DigiPen Institute of Technology,Coffee Break,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,12/5/22,87,0,2,31,6/5/22
5142,Paint Warfare,/app/1190150/,3/6/22,54,598,105,703,80.19,Action (1),"Action (1), Casual (4), Free to Play (37), Indie (23), Massively Multiplayer (29), Simulation (28), Sports (18), Strategy (2)",Prevain,bananadev.,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,2/13/23,84,25,38,54,4/9/22
5143,Cyanotype Daydream -The Girl Who Dreamed the World-,/app/1607200/,2/9/22,206,321,51,372,80.19,Adventure (25),"Adventure (25), Casual (4)",Laplacian,Laplacian,nan,2/9/22,86,8,16,206,2/9/22
5144,Into the Nightmare,/app/1551560/,12/3/22,330,110,13,123,80.19,Indie (23),"Indie (23), RPG (3)",Kagura Games,Tsukinomizu Project,Engine.RPGMaker,12/3/22,89,7,13,330,12/4/22
5145,Little Inner Monsters,/app/1813190/,6/20/22,13,45,3,48,80.19,Casual (4),"Casual (4), Indie (23), Strategy (2)",Mens Sana Interactive,Mens Sana Interactive,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.UnityBurst; SDK.cURL,6/21/22,93,0,1,13,6/21/22
5146,The Princess of the Tower Wants a Hero,/app/2209190/,12/6/22,8,45,3,48,80.19,Free to Play (37),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",Neoclassic Games,Anta,Engine.RenPy,11/11/22,94,0,4,8,12/20/22
5147,Project Beril / 贝丽尔养成计划,/app/1250900/,10/28/22,28,59,5,64,80.18,Indie (23),"Action (1), Indie (23)",SlimeSmile,SlimeSmile,Engine.Unity,9/27/22,92,0,2,28,10/28/22
5148,On the Wings - Birth of a Hero,/app/1947060/,9/8/22,3,59,5,64,80.18,RPG (3),"Action (1), Adventure (25), RPG (3)",Queen Developer,Queen Developer,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,3/11/23,92,0,1,3,5/30/22
5149,The Eternal Cylinder,/app/865680/,10/13/22,277,310,49,359,80.17,Adventure (25),"Action (1), Adventure (25)",Good Shepherd Entertainment,ACE Team,Engine.Unreal; SDK.CEF; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,10/12/22,86,20,23,277,10/16/22
5150,Kovox Pitch,/app/1299810/,1/17/22,16,52,4,56,80.17,Indie (23),"Action (1), Indie (23)",Kalvarez A. Party,Calvares,Engine.Unity; SDK.Discord,4/14/23,92,0,2,16,1/17/22
5151,兽设格斗前传：上,/app/1620100/,3/31/22,7,52,4,56,80.17,Action (1),"Action (1), Free to Play (37), Indie (23)",风车狼查查,风车狼查查,nan,2/18/23,92,0,2,7,4/1/22
5152,Convenient,/app/2143010/,9/23/22,12,52,4,56,80.17,Adventure (25),Adventure (25),Luna Apps,Luna Apps,Engine.Unity; SDK.SteamworksNET; SDK.cURL,9/9/22,92,0,2,12,1/9/23
5153,Summoners War: Chronicles,/app/2167580/,11/10/22,38641,5927,1266,7193,80.16,Free to Play (37),"Action (1), Adventure (25), Free to Play (37), Massively Multiplayer (29), RPG (3)",Com2uS,Com2uS,AntiCheat.nProtect_GameGuard; Engine.Unity; SDK.CEF; SDK.cURL,3/8/23,81,"25,306","26,527",38641,3/19/23
5154,IMMORTALITY,/app/1350200/,8/30/22,399,833,153,986,80.16,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Half Mermaid,Sam Barlow,Engine.Unity; SDK.Bink_Video; SDK.FMOD; SDK.UnityBurst; SDK.cURL,11/23/22,84,15,29,399,8/31/22
5155,The Gunk,/app/1087760/,4/29/22,165,414,69,483,80.16,Action (1),"Action (1), Adventure (25)",Thunderful Publishing,Image &amp; Form Games,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.Vorbis; SDK.XAudio2,5/1/22,85,3,7,165,7/24/22
5156,Madshot,/app/1524550/,6/9/22,68,103,12,115,80.11,Action (1),"Action (1), Adventure (25), Early Access (70)",HOOK,Overflow,Engine.Unity; SDK.UnityBurst; SDK.Wwise,12/7/22,89,0,8,68,6/9/22
5157,Isekai Succubus ~My Genderbent Saga in Another World~,/app/1383680/,1/15/22,77,109,13,122,80.1,RPG (3),"Indie (23), RPG (3)",Eroge Japan,Sakura Mangekyou,Engine.Unity,11/9/21,89,4,7,77,1/19/22
5158,Cardfight!! Vanguard Dear Days,/app/1881420/,11/16/22,1587,593,105,698,80.09,Strategy (2),Strategy (2),Bushiroad Inc.,FURYU Corporation,nan,10/28/22,84,103,116,1587,11/17/22
5159,Totemlands,/app/1248450/,5/2/22,6,37,2,39,80.09,Simulation (28),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Hobofeller,Hobofeller,Engine.GameMaker,10/3/22,94,0,1,6,5/6/22
5160,Valor,/app/1694310/,11/3/22,6,37,2,39,80.09,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Open Mid Interactive,Open Mid Interactive,Engine.Unity; SDK.UnityURP; SDK.cURL,9/15/22,94,0,0,6,11/3/22
5161,Valor,/app/1694310/,11/3/22,6,37,2,39,80.09,Free to Play (37),"Free to Play (37), Massively Multiplayer (29), Strategy (2)",Sillybilly2454,Sillybilly2454,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.cURL,6/17/21,60,0,0,6,8/4/21
5162,Valor,/app/1668580/,8/3/21,6,12,8,20,56,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Open Mid Interactive,Open Mid Interactive,Engine.Unity; SDK.UnityURP; SDK.cURL,9/15/22,94,0,0,6,11/3/22
5163,Valor,/app/1668580/,8/3/21,6,12,8,20,56,Free to Play (37),"Free to Play (37), Massively Multiplayer (29), Strategy (2)",Sillybilly2454,Sillybilly2454,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.cURL,6/17/21,60,0,0,6,8/4/21
5164,Raspberry Cube,/app/2001970/,11/4/22,19,37,2,39,80.09,Adventure (25),"Adventure (25), Casual (4)",Sekai Project,madosoft,nan,9/14/22,94,2,4,19,11/7/22
